0	0
1	1.131959884853339e-72
2	7.4184123013748428e-68
3	4.861730685829017e-63
4	3.1861838222649046e-58
5	2.0880974297595278e-53
6	1.3684555315672042e-48
7	8.9683101716788293e-44
8	5.8774717541114375e-39
9	1.504632769052528e-36
10	3.8518598887744717e-34
11	9.8607613152626476e-32
12	2.5243548967072378e-29
13	6.4623485355705287e-27
14	1.6543612251060553e-24
15	4.2351647362715017e-22
16	1.0842021724855044e-19
17	1.7347234759768071e-18
18	2.7755575615628914e-17
19	4.4408920985006262e-16
20	7.1054273576010019e-15
21	1.1368683772161603e-13
22	1.8189894035458565e-12
23	2.9103830456733704e-11
24	4.6566128730773926e-10
25	1.862645149230957e-09
26	7.4505805969238281e-09
27	2.9802322387695312e-08
28	1.1920928955078125e-07
29	4.76837158203125e-07
30	1.9073486328125e-06
31	7.62939453125e-06
32	3.0517578125e-05
33	6.103515625e-05
34	0.0001220703125
35	0.000244140625
36	0.00048828125
37	0.0009765625
38	0.001953125
39	0.00390625
40	0.0078125
41	0.01171875
42	0.015625
43	0.0234375
44	0.03125
45	0.046875
46	0.0625
47	0.09375
48	0.125
49	0.15625
50	0.1875
51	0.21875
52	0.25
53	0.3125
54	0.375
55	0.4375
56	0.5
57	0.5625
58	0.625
59	0.6875
60	0.75
61	0.8125
62	0.875
63	0.9375
64	1
65	1.125
66	1.25
67	1.375
68	1.5
69	1.625
70	1.75
71	1.875
72	2
73	2.5
74	3
75	3.5
76	4
77	5
78	6
79	7
80	8
81	12
82	16
83	24
84	32
85	48
86	64
87	96
88	128
89	256
90	512
91	1024
92	2048
93	4096
94	8192
95	16384
96	32768
97	131072
98	524288
99	2097152
100	8388608
101	33554432
102	134217728
103	536870912
104	2147483648
105	34359738368
106	549755813888
107	8796093022208
108	140737488355328
109	2251799813685248
110	36028797018963968
111	5.7646075230342349e+17
112	9.2233720368547758e+18
113	2.3611832414348226e+21
114	6.0446290980731459e+23
115	1.5474250491067253e+26
116	3.9614081257132169e+28
117	1.0141204801825835e+31
118	2.5961484292674138e+33
119	6.6461399789245794e+35
120	1.7014118346046923e+38
121	1.1150372599265312e+43
122	7.3075081866545146e+47
123	4.7890485652059027e+52
124	3.1385508676933404e+57
125	2.0568806966515076e+62
126	1.347997333357532e+67
127	8.8342353238919216e+71
128	nan
129	-8.8342353238919216e+71
130	-1.347997333357532e+67
131	-2.0568806966515076e+62
132	-3.1385508676933404e+57
133	-4.7890485652059027e+52
134	-7.3075081866545146e+47
135	-1.1150372599265312e+43
136	-1.7014118346046923e+38
137	-6.6461399789245794e+35
138	-2.5961484292674138e+33
139	-1.0141204801825835e+31
140	-3.9614081257132169e+28
141	-1.5474250491067253e+26
142	-6.0446290980731459e+23
143	-2.3611832414348226e+21
144	-9.2233720368547758e+18
145	-5.7646075230342349e+17
146	-36028797018963968
147	-2251799813685248
148	-140737488355328
149	-8796093022208
150	-549755813888
151	-34359738368
152	-2147483648
153	-536870912
154	-134217728
155	-33554432
156	-8388608
157	-2097152
158	-524288
159	-131072
160	-32768
161	-16384
162	-8192
163	-4096
164	-2048
165	-1024
166	-512
167	-256
168	-128
169	-96
170	-64
171	-48
172	-32
173	-24
174	-16
175	-12
176	-8
177	-7
178	-6
179	-5
180	-4
181	-3.5
182	-3
183	-2.5
184	-2
185	-1.875
186	-1.75
187	-1.625
188	-1.5
189	-1.375
190	-1.25
191	-1.125
192	-1
193	-0.9375
194	-0.875
195	-0.8125
196	-0.75
197	-0.6875
198	-0.625
199	-0.5625
200	-0.5
201	-0.4375
202	-0.375
203	-0.3125
204	-0.25
205	-0.21875
206	-0.1875
207	-0.15625
208	-0.125
209	-0.09375
210	-0.0625
211	-0.046875
212	-0.03125
213	-0.0234375
214	-0.015625
215	-0.01171875
216	-0.0078125
217	-0.00390625
218	-0.001953125
219	-0.0009765625
220	-0.00048828125
221	-0.000244140625
222	-0.0001220703125
223	-6.103515625e-05
224	-3.0517578125e-05
225	-7.62939453125e-06
226	-1.9073486328125e-06
227	-4.76837158203125e-07
228	-1.1920928955078125e-07
229	-2.9802322387695312e-08
230	-7.4505805969238281e-09
231	-1.862645149230957e-09
232	-4.6566128730773926e-10
233	-2.9103830456733704e-11
234	-1.8189894035458565e-12
235	-1.1368683772161603e-13
236	-7.1054273576010019e-15
237	-4.4408920985006262e-16
238	-2.7755575615628914e-17
239	-1.7347234759768071e-18
240	-1.0842021724855044e-19
241	-4.2351647362715017e-22
242	-1.6543612251060553e-24
243	-6.4623485355705287e-27
244	-2.5243548967072378e-29
245	-9.8607613152626476e-32
246	-3.8518598887744717e-34
247	-1.504632769052528e-36
248	-5.8774717541114375e-39
249	-8.9683101716788293e-44
250	-1.3684555315672042e-48
251	-2.0880974297595278e-53
252	-3.1861838222649046e-58
253	-4.861730685829017e-63
254	-7.4184123013748428e-68
255	-1.131959884853339e-72
