0	18739	0
1	52195	65535
96	29505	17
834	43475	65043
1210	58349	62620
1271	56676	63241
2268	39156	64688
2306	61038	57180
2540	11364	3720
2708	2306	17847
2924	15628	3097
3013	45596	63444
3261	32767	1
3667	49152	61869
3718	58349	56855
3923	19456	3127
5105	49024	60551
5359	36083	64561
5876	11364	8443
5921	7542	12914
6164	45462	61305
6640	55110	54557
6770	25573	2884
7036	64424	35639
7158	29291	1445
7518	10277	12939
7542	8360	14872
8312	30093	1329
8360	5105	22712
8872	47331	57948
9186	47339	57778
9993	57793	46687
10038	2540	28610
10069	30748	1210
10203	22080	6259
10277	51200	53211
10442	32767	1
11264	7158	21519
11364	34498	64449
11865	2268	29314
11913	13854	14397
12288	37918	61944
12307	7542	21460
12510	19456	9171
12936	47331	54490
12971	65520	32791
13098	24299	6653
13108	56045	45642
13116	64438	34281
13249	32769	65535
13373	8872	20784
13556	58349	41800
13637	13108	16762
13854	21305	8720
13997	15437	14731
14336	34723	63880
14865	49024	50823
14961	24299	7577
15019	48959	50752
15063	12510	18888
15409	30748	1888
15437	56855	42514
15628	43470	55627
15708	13098	18835
16384	57205	41220
16719	50479	47675
16725	15409	17471
16867	32769	65535
17037	29291	3631
17260	47104	50324
18432	55608	40876
18739	9186	25137
18901	54788	41022
19415	30632	2877
19456	53199	42056
19992	50479	44435
20096	59261	37267
20353	49229	45107
20753	5359	29101
21305	13637	23944
21523	56784	38722
21796	27156	8358
22080	13116	24851
23040	18739	20658
24299	18901	21539
24907	15019	25584
25513	59842	35212
25573	61038	34709
25938	31475	3259
26170	56045	36401
27156	11364	29165
27770	63593	33356
29291	13249	30027
29505	59261	33935
29803	44461	36993
29939	57205	34206
30093	55497	34338
30096	27156	24752
30230	8312	31480
30479	32227	3955
30632	38213	39847
30748	12307	31257
30936	55497	33808
31230	19992	30753
31475	57688	33386
32227	10069	32438
32767	38213	32771
32769	37918	32765
32802	12936	32795
32841	47145	32679
32855	12971	32831
32991	53167	32607
33552	65102	32748
33667	42996	31223
34498	13637	34177
34723	22080	36080
34764	8872	33842
34779	12936	34371
34941	64424	32618
35021	2540	33112
35868	6164	33816
36083	29291	48616
36452	54910	30473
37673	7542	34932
37918	40438	21105
38084	45462	25604
38213	43137	24038
38868	29291	55858
39156	0	32768
39552	2268	33674
40438	43475	19874
42051	17037	42777
42496	43475	17225
42535	10203	38664
42996	12971	40439
43137	3667	34987
43470	7542	37581
43475	5105	35950
43628	14865	42294
44461	34498	2580
45049	32855	117
45596	30093	61975
45739	61038	29285
46080	38084	6819
46257	34764	2650
46454	29291	61348
47145	38868	7064
47331	65520	32754
47339	60415	28553
47455	29505	61889
48585	7542	40069
48959	33552	789
49024	16867	49727
49152	13997	46919
49229	65520	32752
49246	56676	23498
49512	25938	59012
49609	17037	50489
49681	13108	46605
49896	38213	5064
50479	47145	13037
51200	2268	35636
51865	7542	42543
51929	59261	25045
52195	40438	6147
52614	57205	20944
52663	25573	60106
53167	11364	48451
53199	64206	30903
53248	5876	40806
54008	15437	53126
54353	43137	6664
54566	32841	47
54637	45739	7768
54788	13997	52509
54910	54566	15877
55093	32227	65201
55110	49229	10469
55497	59481	22504
55608	25513	61476
55748	15437	54974
55877	43137	5911
56045	59261	21399
56676	59481	21271
56784	16725	57156
56855	18901	58360
57205	56045	14964
57688	47331	6924
57793	27770	63286
58349	19456	60049
58401	54637	11241
58570	32227	65311
59261	5359	47454
59416	52614	7690
59481	47339	5135
59842	34764	678
60174	52195	6792
60260	14865	59564
60415	49152	5121
60723	16725	60972
60871	32227	65384
60909	43470	2924
60914	16867	61210
61038	49896	4815
61369	32855	21
61448	52614	5648
62545	60174	9195
62829	55110	4280
63593	26170	64765
63803	24299	64653
64110	30632	65353
64206	13997	63922
64424	45596	838
64438	29505	65325
65102	7518	64598
65520	2540	65424
