0	0
1	5.9604644775390625e-08
2	9.5367431640625e-07
3	3.814697265625e-06
4	1.52587890625e-05
5	3.0517578125e-05
6	6.103515625e-05
7	0.0001220703125
8	0.000244140625
9	0.0003662109375
10	0.00048828125
11	0.000732421875
12	0.0009765625
13	0.00146484375
14	0.001953125
15	0.0029296875
16	0.00390625
17	0.0048828125
18	0.005859375
19	0.0068359375
20	0.0078125
21	0.009765625
22	0.01171875
23	0.013671875
24	0.015625
25	0.01953125
26	0.0234375
27	0.02734375
28	0.03125
29	0.0390625
30	0.046875
31	0.0546875
32	0.0625
33	0.0703125
34	0.078125
35	0.0859375
36	0.09375
37	0.1015625
38	0.109375
39	0.1171875
40	0.125
41	0.140625
42	0.15625
43	0.171875
44	0.1875
45	0.203125
46	0.21875
47	0.234375
48	0.25
49	0.28125
50	0.3125
51	0.34375
52	0.375
53	0.40625
54	0.4375
55	0.46875
56	0.5
57	0.5625
58	0.625
59	0.6875
60	0.75
61	0.8125
62	0.875
63	0.9375
64	1
65	1.125
66	1.25
67	1.375
68	1.5
69	1.625
70	1.75
71	1.875
72	2
73	2.25
74	2.5
75	2.75
76	3
77	3.25
78	3.5
79	3.75
80	4
81	4.5
82	5
83	5.5
84	6
85	6.5
86	7
87	7.5
88	8
89	9
90	10
91	11
92	12
93	13
94	14
95	15
96	16
97	20
98	24
99	28
100	32
101	40
102	48
103	56
104	64
105	80
106	96
107	112
108	128
109	160
110	192
111	224
112	256
113	384
114	512
115	768
116	1024
117	1536
118	2048
119	3072
120	4096
121	8192
122	16384
123	32768
124	65536
125	262144
126	1048576
127	16777216
128	inf
129	-16777216
130	-1048576
131	-262144
132	-65536
133	-32768
134	-16384
135	-8192
136	-4096
137	-3072
138	-2048
139	-1536
140	-1024
141	-768
142	-512
143	-384
144	-256
145	-224
146	-192
147	-160
148	-128
149	-112
150	-96
151	-80
152	-64
153	-56
154	-48
155	-40
156	-32
157	-28
158	-24
159	-20
160	-16
161	-15
162	-14
163	-13
164	-12
165	-11
166	-10
167	-9
168	-8
169	-7.5
170	-7
171	-6.5
172	-6
173	-5.5
174	-5
175	-4.5
176	-4
177	-3.75
178	-3.5
179	-3.25
180	-3
181	-2.75
182	-2.5
183	-2.25
184	-2
185	-1.875
186	-1.75
187	-1.625
188	-1.5
189	-1.375
190	-1.25
191	-1.125
192	-1
193	-0.9375
194	-0.875
195	-0.8125
196	-0.75
197	-0.6875
198	-0.625
199	-0.5625
200	-0.5
201	-0.46875
202	-0.4375
203	-0.40625
204	-0.375
205	-0.34375
206	-0.3125
207	-0.28125
208	-0.25
209	-0.234375
210	-0.21875
211	-0.203125
212	-0.1875
213	-0.171875
214	-0.15625
215	-0.140625
216	-0.125
217	-0.1171875
218	-0.109375
219	-0.1015625
220	-0.09375
221	-0.0859375
222	-0.078125
223	-0.0703125
224	-0.0625
225	-0.0546875
226	-0.046875
227	-0.0390625
228	-0.03125
229	-0.02734375
230	-0.0234375
231	-0.01953125
232	-0.015625
233	-0.013671875
234	-0.01171875
235	-0.009765625
236	-0.0078125
237	-0.0068359375
238	-0.005859375
239	-0.0048828125
240	-0.00390625
241	-0.0029296875
242	-0.001953125
243	-0.00146484375
244	-0.0009765625
245	-0.000732421875
246	-0.00048828125
247	-0.0003662109375
248	-0.000244140625
249	-0.0001220703125
250	-6.103515625e-05
251	-3.0517578125e-05
252	-1.52587890625e-05
253	-3.814697265625e-06
254	-9.5367431640625e-07
255	-5.9604644775390625e-08
